"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"CACNA1A",2,49,886,682.102040816327,1,1.76530612244898,203.897959183673,-0.76530612244898,1.02133650320751,208.248428643802,-0.781635078985343,0.148548256033821,51,0.390499590559732
"OR4Q2",3,103,764,557.592233009709,0.833333333333333,2.01779935275081,206.407766990291,-1.18446601941748,1.00739895070145,207.934967882649,-1.19322982510269,0.595040982700273,106,0.81362746614119
"CYP11B1",2,106,923.5,727.103773584906,0.75,1.15094339622642,196.396226415094,-0.400943396226415,1.05601454549085,207.397271773854,-0.423402058333597,0.760666987670442,108,0.906780384645485
"IFNA10",3,132,617,397.280303030303,3.5,4.40025252525253,219.719696969697,-0.900252525252525,0.943140170121707,207.22647237909,-0.849064319819163,0.640564803652875,135,0.842121863572756
"TMEM254",2,63,1001.5,738.126984126984,1.25,1.34391534391534,263.373015873016,-0.093915343915344,0.782194199842297,206.008845410846,-0.0734600372867766,0.642780932821975,65,0.844013355509457
"OR5H1",4,175,540.25,348.2,1.375,3.69333333333333,192.05,-2.31833333333333,1.06918767438232,205.337492865125,-2.47873342510968,0.462569153143722,179,0.715561052644705
"ZNF30",2,80,700.5,367.1875,1,12.6666666666667,333.3125,-11.6666666666667,0.613609741430197,204.523796940452,-7.15878031668563,0.424864718506366,82,0.681619856165337
"YAP1",2,46,923.5,749.978260869565,0.75,1.44565217391304,173.521739130435,-0.695652173913043,1.15675606501741,200.7223241515,-0.804699871316461,0.786527404061107,48,0.915212694285661
"OR2B6",3,189,594.666666666667,396.100529100529,1.66666666666667,4.68783068783069,198.566137566138,-3.02116402116402,1.00571752123554,199.701443674332,-3.03843759061109,0.396358758123272,192,0.65993462226087
"ARL17A",3,57,812.666666666667,558.385964912281,0.833333333333333,2.75730994152047,254.280701754386,-1.92397660818713,0.772157644121435,196.344787612212,-1.48561324512253,0.383318261706256,60,0.64787232719175
"ANTXRL",8,201,606.25,420.363184079602,1.1875,2.68739635157546,185.886815920398,-1.49989635157546,1.05568365252122,196.237672786385,-1.58341605883442,0.17679222970453,209,0.430931059904791
"CT45A6",5,222,683.2,482.63963963964,1.1,2.30255255255255,200.56036036036,-1.20255255255255,0.975030049536997,195.55237809732,-1.17252487488616,0.344928817162324,227,0.613223839977265
"OR5T1",5,79,674,503.949367088608,1.9,1.98523206751055,170.050632911392,-0.0852320675105489,1.13386606281862,192.814641619055,-0.0966417488140769,0.560109355494452,84,0.787555284648643
"OR4C15",2,88,549.5,384.034090909091,2.5,3.5625,165.465909090909,-1.0625,1.16229120552625,192.319570950769,-1.23493440587164,0.758756358578671,90,0.906780384645485
"PGC",2,65,1193,919.538461538462,0.75,1.36153846153846,273.461538461538,-0.611538461538461,0.701288131437718,191.775331327776,-0.428864664994604,0.433666028070665,67,0.688438232897113
"OR6C1",9,204,401,225.700980392157,4,8.32924836601307,175.299019607843,-4.32924836601307,1.09395911635807,191.769960588633,-4.7360207169783,0.0948849966128176,213,0.291687642528579
"H2BC15",7,170,680.285714285714,479.076470588235,1.42857142857143,2.27598039215686,201.209243697479,-0.847408963585434,0.943117031940451,189.763864714949,-0.799205826576429,0.336378094392987,177,0.606176524585432
"CT45A5",5,220,683.2,488.104545454545,1.1,2.28030303030303,195.095454545455,-1.18030303030303,0.97178472420396,189.590782488901,-1.14700045478013,0.35682604507209,225,0.623254737943815
"H4C4",2,100,807.5,529.79,1.25,2.66666666666667,277.71,-1.41666666666667,0.682259016834358,189.47015156507,-0.966533607182007,0.325618797842363,102,0.596339844385958
"CT45A3",5,233,683.2,494.703862660944,1.1,2.17954220314735,188.496137339056,-1.07954220314735,0.999084485901091,188.323566467732,-1.07855386704001,0.371639952647632,238,0.636366445785231
"TJP2",2,49,863.5,686.897959183673,0.75,1.51700680272109,176.602040816327,-0.767006802721089,1.0656812283707,188.201479789916,-0.817384751692494,0.702059997737748,51,0.881962872158046
"DEFA1B",7,127,549.428571428571,343.92125984252,2,5.80708661417323,205.507311586052,-3.80708661417323,0.913586926493931,187.748793163932,-3.47810455873871,0.206069524549589,134,0.477781426484539
"SLC7A2",2,19,1317,1123.57894736842,0.5,1,193.421052631579,-0.5,0.960272761013633,185.73696824869,-0.480136380506816,0.256242319772286,21,0.541217902668021
"IFNA14",4,148,588.25,371.70945945946,3.625,4.77815315315315,216.540540540541,-1.15315315315315,0.851690600418507,184.425542987921,-0.982129701383503,0.463257485857054,152,0.715836622158107
"CES1",5,163,658.2,488.073619631902,1.5,2.65644171779141,170.126380368098,-1.15644171779141,1.08369817028303,184.365647121782,-1.25323377360951,0.510027626471675,168,0.754644500549539
"OR5H15",8,241,484.25,305.692946058091,1.5625,5.2551867219917,178.557053941909,-3.6926867219917,1.0295098189607,183.82624027789,-3.80165723863626,0.0950767531065133,249,0.291933673169588
"GAB4",2,77,1193,903.363636363636,0.75,1.48701298701299,289.636363636364,-0.737012987012987,0.632099598854076,183.079029268099,-0.465865613441153,0.420374536534586,79,0.677630267714296
"OR52A5",7,193,565.857142857143,400.124352331606,2.21428571428571,3.15112262521589,165.732790525537,-0.936836910930175,1.10244691989404,182.711604440321,-1.03281296689801,0.291148533438363,200,0.569247074479255
"PKP3",2,29,915.5,726.48275862069,0.75,1.17816091954023,189.01724137931,-0.42816091954023,0.960354809211833,181.523616782575,-0.411186398197021,0.772426350399803,31,0.911218985821529
"TRAF3IP3",2,28,926.5,752.5,1,1.28571428571429,174,-0.285714285714286,1.03795033994625,180.603359150648,-0.296557239984643,0.784951519303961,30,0.915212694285661
"OR11H6",2,91,832.5,647.494505494505,0.75,1.91025641025641,185.005494505495,-1.16025641025641,0.974106638136995,180.21508028962,-1.13021347117177,0.00238673239423068,93,0.0183427404297787
"OR2D2",3,40,817.333333333333,634.3,0.833333333333333,1.0875,183.033333333333,-0.254166666666667,0.964083279742628,176.459376302226,-0.245037833601251,0.614347591219874,43,0.825766592519305
"AKR1C4",2,199,531,368.673366834171,1.5,5.07244556113903,162.326633165829,-3.57244556113903,1.06933525650662,173.581591914237,-3.82014199047652,0.661350422240543,201,0.856771766640822
"CNTNAP3B",5,232,758,571.581896551724,0.9,1.41091954022988,186.418103448276,-0.510919540229885,0.92722816520933,172.852116022148,-0.473738987856951,0.389942738983615,237,0.65483314714922
"ZNF160",6,203,406,212.423645320197,4.5,8.90270935960591,193.576354679803,-4.40270935960591,0.891740850679239,172.619943193554,-3.92607578962842,0.290011171639119,209,0.568491516498888
"AKR1C8P",2,70,714,523.457142857143,1,2.86190476190476,190.542857142857,-1.86190476190476,0.905233310334892,172.485741332097,-1.68545821114735,0.23581724935614,72,0.511135107864897
"APOL3",6,176,578.333333333333,416.852272727273,2.83333333333333,3.73390151515152,161.481060606061,-0.900568181818188,1.06483780749784,171.951138528184,-0.958959048229597,0.47419794412266,182,0.724184236114851
"ZNF677",5,187,523.8,308.540106951872,2.3,4.93270944741533,215.259893048128,-2.63270944741533,0.79835859907202,171.854586650297,-2.10184622620217,0.304882134370192,192,0.579808600516239
"H2BC12",2,87,916,689.48275862069,1.75,1.53256704980843,226.51724137931,0.217432950191571,0.757999239878881,171.699896784978,0.164814010969833,0.731580337865286,89,0.894475059847271
"OR6B3",2,71,660,510.676056338028,0.75,1.95539906103286,149.323943661972,-1.20539906103286,1.13903859237525,170.085734596654,-1.37299604972933,0.587695975026427,73,0.808518594897267
"IGLL1",6,197,708.833333333333,535.314720812183,0.916666666666667,1.82529610829103,173.518612521151,-0.908629441624365,0.976134403371127,169.377487307119,-0.886944457885439,0.343013028085399,203,0.612640493771119
"H2BC10",3,106,783,573.443396226415,1.83333333333333,2.11399371069182,209.556603773585,-0.28066037735849,0.801247176315347,167.906637051819,-0.22487833486209,0.498726414538752,109,0.746756646992135
"CST1",3,70,937.333333333333,690.457142857143,0.833333333333333,2.16666666666667,246.87619047619,-1.33333333333333,0.678239372034067,167.441152398734,-0.90431916271209,0.481819076156265,73,0.732824939462352
"PARP14",3,40,680,517.35,0.833333333333333,1.375,162.65,-0.541666666666667,1.02479670058022,166.683183349373,-0.555098212814286,0.606112843917503,43,0.821885241907854
"RPL9",2,19,1193,954.052631578947,0.75,1.06140350877193,238.947368421053,-0.31140350877193,0.697096087117986,166.569275553456,-0.217078167479724,0.470391325940597,21,0.721321910025106
"AKNA",3,31,848.666666666667,698.096774193548,0.666666666666667,1.29032258064516,150.569892473118,-0.623655913978495,1.10579124408779,166.498868720015,-0.689633249000989,0.668241361257722,34,0.860578943798141
"MALL",2,55,1193,862.381818181818,0.75,1.54848484848485,330.618181818182,-0.798484848484848,0.502406649061376,166.104772846038,-0.401164097053553,0.376479562137718,57,0.641153642474838
"LYZ",3,143,469,323.370629370629,1.33333333333333,3.83100233100233,145.629370629371,-2.497668997669,1.13784067627992,165.703021563142,-2.84194938143107,0.00385665810207688,146,0.0262433531789763
"PRSS33",4,33,869,680.878787878788,0.75,1.05555555555556,188.121212121212,-0.305555555555556,0.879390937572181,165.432089104488,-0.268702786480389,0.532676342624562,37,0.772339431057179
"SRSF10",4,163,813.5,635.288343558282,1,1.55010224948875,178.211656441718,-0.550102249488753,0.921404195874807,164.204967999198,-0.506866520839107,0.380858498976155,167,0.644966466509846
"BCCIP",2,25,1089,925.04,0.75,0.926666666666667,163.96,-0.176666666666667,0.985483227462617,161.579829974771,-0.174102036851729,0.384740917770764,27,0.649436704221581
"OR2D3",2,21,668,475.904761904762,0.75,2.00793650793651,192.095238095238,-1.25793650793651,0.837938376577369,160.963971957767,-1.05407327529772,0.0457863918944049,23,0.17264046467544
"HMGB1",2,30,887,706.933333333333,0.75,1.11666666666667,180.066666666667,-0.366666666666667,0.89357168747431,160.902475191208,-0.327642952073914,0.793087383974797,32,0.91574073632233
"COL11A2",2,65,1193,941.661538461538,0.75,1.21538461538462,251.338461538462,-0.465384615384615,0.63626516315758,159.917907238544,-0.29610801823872,0.463800765906496,67,0.715836622158107
"LY6H",2,30,927,714.833333333333,0.75,1.03888888888889,212.166666666667,-0.288888888888889,0.753305300835255,159.826274660547,-0.217621531352407,0.741808336857289,32,0.900635630975786
