"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"PPP1R3G","maximum_longevity_y",-0.00996818302048202,0.176058763864337,0.954849097773319,287,287,76,363,1.00696864111498,"1 - 2","success",0.999993213635889
"FAM228B","maximum_longevity_y",-0.0599998766031774,0.176916885559997,0.734503057071855,235,235,128,363,1.11914893617021,"1 - 3","success",0.999993213635889
"LINGO3","maximum_longevity_y",0.0642565198572947,0.179322568174061,0.720096937368987,272,272,91,363,1.01838235294118,"1 - 2","success",0.999993213635889
"ZGLP1","maximum_longevity_y",0.000707731353073545,0.155900982872407,0.996377919049092,339,339,24,363,1.03244837758112,"1 - 2","success",0.999993213635889
"VAMP2","maximum_longevity_y",-0.0431481475223163,0.152238099253641,0.776850743066122,355,355,8,363,1.00845070422535,"1 - 2","success",0.999993213635889
"TRIM51GP","maximum_longevity_y",0.547773171736115,0.246390851323567,0.0262031290096818,190,190,173,363,2.84736842105263,"1 - 27","success",0.924646188453038
"OR6B1","maximum_longevity_y",-0.0455037307458716,0.156884169532702,0.771780534922785,313,313,50,363,1.04153354632588,"1 - 3","success",0.999993213635889
"EBF2","maximum_longevity_y",0.0097900085747298,0.158592368242977,0.950777338376978,343,343,20,363,1.00874635568513,"1 - 3","success",0.999993213635889
"C6orf226","maximum_longevity_y",-0.0019117469800096,0.186901511741559,0.991838873921445,229,229,134,363,1.00873362445415,"1 - 2","success",0.999993213635889
"PPP3R1","maximum_longevity_y",-0.118618680774645,0.146453444574318,0.417973962763154,354,354,9,363,1.09039548022599,"1 - 4","success",0.999993213635889
"PSG3","maximum_longevity_y",0.036148385820484,0.239646681355602,0.880101667138271,218,218,145,363,5.61926605504587,"1 - 29","success",0.999993213635889
"FANCG","maximum_longevity_y",-0.00012172501506608,0.153873313134042,0.99936881517609,351,351,12,363,1.01139601139601,"1 - 3","success",0.999993213635889
"OR2A5","maximum_longevity_y",-0.0431617579154882,0.190353152343071,0.820621492529752,231,231,132,363,1.04329004329004,"1 - 2","success",0.999993213635889
"KRTAP10-9","maximum_longevity_y",0.429604222564637,0.249340159389251,0.0848949598280673,129,129,234,363,1.2093023255814,"1 - 3","success",0.999993213635889
"AP4M1","maximum_longevity_y",-0.00964289038062241,0.153728193536857,0.949983990154524,352,352,11,363,1.01136363636364,"1 - 2","success",0.999993213635889
"OR4A5","maximum_longevity_y",-0.0379234060315822,0.255376270307546,0.881948093589569,275,275,88,363,5.59272727272727,"1 - 47","success",0.999993213635889
"C2orf16","maximum_longevity_y",-0.0231874291041838,0.19630771480128,0.905974345214831,211,211,152,363,1.01895734597156,"1 - 2","success",0.999993213635889
"KRTAP1-5","maximum_longevity_y",0.0381124665904224,0.190764482959932,0.841646337256678,227,227,136,363,1.02202643171806,"1 - 2","success",0.999993213635889
"TAS2R41","maximum_longevity_y",0.0369608701175438,0.188095740293736,0.844218594877402,236,236,127,363,1.07203389830508,"1 - 3","success",0.999993213635889
"OR2A12","maximum_longevity_y",0.033839627593741,0.179462095547884,0.850436572592615,215,215,148,363,1.37209302325581,"1 - 5","success",0.999993213635889
"KRTAP10-10","maximum_longevity_y",0.332520285018084,0.244835689411758,0.174420376890167,155,155,208,363,1.14193548387097,"1 - 3","success",0.999993213635889
"KRTAP12-2","maximum_longevity_y",0.025382162623578,0.202288091403859,0.90014726387125,193,193,170,363,1.03626943005181,"1 - 3","success",0.999993213635889
"PLXNA4","maximum_longevity_y",-0.000157851762067759,0.156609598802215,0.999195787081462,328,328,35,363,1.00609756097561,"1 - 2","success",0.999993213635889
"MAGEA3","maximum_longevity_y",0.636644546397126,0.176637813407464,0.000313071258927468,293,293,70,363,6.26621160409556,"1 - 28","success",0.0856984418262784
"CEBPD","maximum_longevity_y",-0.000393780724928459,0.16825233200939,0.998132618608155,284,284,79,363,1.01056338028169,"1 - 2","success",0.999993213635889
"PSG7","maximum_longevity_y",0.296498679406229,0.289124455781502,0.305124797142355,160,160,203,363,3.5375,"1 - 23","success",0.999993213635889
"KRTAP1-3","maximum_longevity_y",0.00739512898712358,0.175568145818109,0.966402134481662,247,247,116,363,1.06477732793522,"1 - 3","success",0.999993213635889
"OR3A2","maximum_longevity_y",-0.0732997769373785,0.227374763428602,0.747169162323112,297,297,66,363,8.02356902356902,"1 - 34","success",0.999993213635889
"ZBED8","maximum_longevity_y",-0.0423670343416663,0.176440876646965,0.81023700570192,288,288,75,363,1.01041666666667,"1 - 2","success",0.999993213635889
"HMSD","maximum_longevity_y",-0.00559766263754003,0.196748753562558,0.97730259506807,273,273,90,363,1.79120879120879,"1 - 10","success",0.999993213635889
"OR1C1","maximum_longevity_y",0.29676448555105,0.17798033814473,0.0954348160294397,167,167,196,363,1.5748502994012,"1 - 6","success",0.999993213635889
"NPTXR","maximum_longevity_y",-0.00590431344239222,0.164709934508552,0.971404567522425,319,319,44,363,1.01253918495298,"1 - 2","success",0.999993213635889
"POM121L12","maximum_longevity_y",0.165079784344303,0.288791715258195,0.567577884769738,137,137,226,363,1.06569343065693,"1 - 2","success",0.999993213635889
"FAM200A","maximum_longevity_y",0.0993394948539217,0.350340758024464,0.776754443279909,129,129,234,363,1.06976744186047,"1 - 2","success",0.999993213635889
"OR2F2","maximum_longevity_y",0.0785014750591578,0.193990889683266,0.685723197737186,254,254,109,363,1.62992125984252,"1 - 5","success",0.999993213635889
"PPP2R2A","maximum_longevity_y",-0.0479522234161066,0.152222372092796,0.752750799252164,351,351,12,363,1.02564102564103,"1 - 2","success",0.999993213635889
"C19orf73","maximum_longevity_y",0.0433243457138105,0.429186309194329,0.919593873337457,79,79,284,363,1.0126582278481,"1 - 2","success",0.999993213635889
"ZNF880","maximum_longevity_y",0.54166122483314,0.271972010515693,0.0464142492881821,214,214,149,363,8.00934579439252,"1 - 44","success",0.999993213635889
"TRIM16","maximum_longevity_y",0.00511084161050517,0.159395339181362,0.974421065235384,326,326,37,363,1.00613496932515,"1 - 2","success",0.999993213635889
"OR6X1","maximum_longevity_y",NA,NA,NA,0,190,173,363,NA,NA,"No variation in nonzero copy numbers",NA
"HEPN1","maximum_longevity_y",NA,NA,NA,0,81,282,363,NA,NA,"No variation in nonzero copy numbers",NA
"OR2A25","maximum_longevity_y",0.0141763484148717,0.213807388925404,0.947135562993387,265,265,98,363,1.24905660377358,"1 - 19","success",0.999993213635889
"TAS2R40","maximum_longevity_y",-0.0281694171224915,0.180057473853987,0.875680843566882,230,230,133,363,1.01739130434783,"1 - 2","success",0.999993213635889
"OR2A14","maximum_longevity_y",-0.0702287710733269,0.229871762416111,0.759975605157096,291,291,72,363,4.56357388316151,"1 - 39","success",0.999993213635889
"TIGD1","maximum_longevity_y",NA,NA,NA,0,47,316,363,NA,NA,"No variation in nonzero copy numbers",NA
"FXYD7","maximum_longevity_y",-0.0152298977919384,0.156214052356269,0.922334276904062,347,347,16,363,1.01440922190202,"1 - 2","success",0.999993213635889
"XKR9","maximum_longevity_y",-0.0228890762609969,0.156791047416441,0.883933556070142,332,332,31,363,1.01204819277108,"1 - 2","success",0.999993213635889
"OR4C12","maximum_longevity_y",-0.218101922203277,0.169007506307213,0.196881761384748,214,214,149,363,1.28971962616822,"1 - 5","success",0.999993213635889
"SLC12A8","maximum_longevity_y",-0.029642230180938,0.160899320347597,0.853834252361408,333,333,30,363,1.00600600600601,"1 - 2","success",0.999993213635889
"APOL6","maximum_longevity_y",-0.0591039470633621,0.19944833964966,0.766972638698369,193,193,170,363,1.04663212435233,"1 - 3","success",0.999993213635889
"FADS3","maximum_longevity_y",0.0619793077517051,0.150164677546758,0.679795462216038,334,334,29,363,1.14071856287425,"1 - 3","success",0.999993213635889
"OR2A1","maximum_longevity_y",0.108024512825464,0.199109918275693,0.587448573475406,179,179,184,363,1.36312849162011,"1 - 5","success",0.999993213635889
"OR4E2","maximum_longevity_y",-0.0203705601460492,0.16854921534891,0.90380332574717,295,295,68,363,1.06779661016949,"1 - 5","success",0.999993213635889
"CCNL2","maximum_longevity_y",0.0262808224475508,0.153212289247157,0.863805409110487,348,348,15,363,1.02586206896552,"1 - 2","success",0.999993213635889
"UBA52","maximum_longevity_y",0.0121221337729991,0.198197679633414,0.951230324085507,338,338,25,363,1.38461538461538,"1 - 10","success",0.999993213635889
"MYBPHL","maximum_longevity_y",-0.0201071491436124,0.178023402079941,0.910072841527341,271,271,92,363,1.00738007380074,"1 - 2","success",0.999993213635889
"PPT2","maximum_longevity_y",-0.0061408077066454,0.152725550262672,0.9679272016697,352,352,11,363,1.01420454545455,"1 - 2","success",0.999993213635889
"OR2A2","maximum_longevity_y",0.222955662323712,0.210946057139051,0.290542570321192,164,164,199,363,1.20121951219512,"1 - 4","success",0.999993213635889
"ZNF630","maximum_longevity_y",0.557138520345543,0.385610438150622,0.148507834618513,117,117,246,363,1.82051282051282,"1 - 9","success",0.999993213635889
"TIAF1","maximum_longevity_y",NA,NA,NA,0,75,288,363,NA,NA,"No variation in nonzero copy numbers",NA
"OR52B4","maximum_longevity_y",0.501171437027721,0.187812719468925,0.00761989966704985,181,181,182,363,1.40331491712707,"1 - 5","success",0.493176839561837
"BTBD19","maximum_longevity_y",-0.0141815305579007,0.153069340475803,0.926183404888371,347,347,16,363,1.02881844380403,"1 - 2","success",0.999993213635889
