"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"SRP9",3,23,2026,907.739130434783,0.5,2.1231884057971,1118.26086956522,-1.6231884057971,0.802532029048019,897.440164657177,-1.30266068483157,0.0149467388468542,26,0.157220266779477
"CDRT1",2,25,1724.5,876.44,0.75,0.966666666666667,848.06,-0.216666666666667,1.05775188123102,897.037060396777,-0.229179574266721,0.402499383888198,27,0.649591089667705
"C17orf97",2,9,1862,810.444444444444,0.5,1.11111111111111,1051.55555555556,-0.611111111111111,0.845771909976298,889.376150668409,-0.516860611652182,0.0568632050958071,11,0.298196020423681
"ZNF410",2,17,1737,902.529411764706,0.75,1.05882352941176,834.470588235294,-0.308823529411765,1.03218422803568,861.327379936126,-0.318762776305136,0.232351826496822,19,0.532312298805072
"IFITM5",2,17,1467.5,515.823529411765,0.375,1.14705882352941,951.676470588235,-0.772058823529412,0.904633448739823,860.918367672778,-0.698430236159422,0.47679967266863,19,0.696887890264757
"SSH2",2,53,1862,969.509433962264,0.5,1.05974842767296,892.490566037736,-0.559748427672956,0.96426304002754,860.595666403447,-0.53974472051856,0.138704858654113,55,0.434046199043617
"MRPS7",3,6,1725.66666666667,641.833333333333,0.5,1,1083.83333333333,-0.5,0.79038931944242,856.650290722343,-0.39519465972121,0.00825295810034154,9,0.106928470619596
"TOMM7",2,34,1527,739.764705882353,1.25,1.36764705882353,787.235294117647,-0.117647058823529,1.0880292238534,856.535006048825,-0.1280034381004,0.514867453999275,36,0.720449585072825
"KRTAP2-2",3,81,1469.33333333333,689.950617283951,1,1.26954732510288,779.382716049383,-0.269547325102881,1.09438204086992,852.942447408862,-0.294987751757117,0.199301337190189,84,0.50120084544493
"PRSS22",2,15,2221.5,1076.4,0.5,0.911111111111111,1145.1,-0.411111111111111,0.744721780453896,852.780910797756,-0.306163398631046,0.00274639597788035,17,0.0510446433842319
"SLC9A7",2,51,1847,961.764705882353,0.75,0.970588235294118,885.235294117647,-0.220588235294118,0.960069830047693,849.887698375749,-0.211780109569344,0.328979742215453,53,0.595326392135753
"CHEK2",2,38,1592,799.631578947368,0.75,1.28508771929825,792.368421052632,-0.535087719298246,1.06659493622177,845.136145516777,-0.570721851837965,0.352803883884468,40,0.61429382135178
"FPR3",3,38,1703,686.631578947368,0.666666666666667,1.45614035087719,1016.36842105263,-0.789473684210526,0.8314597460795,845.069429291643,-0.656415589010132,0.0233519929011183,41,0.200676480930901
"TCEA1",2,22,1592,896.545454545455,0.75,1.09090909090909,695.454545454545,-0.340909090909091,1.21028266788467,841.69658266525,-0.412596364051593,0.387783827004454,24,0.640324038309835
"EXOC7",2,26,1737,880.807692307692,0.75,1.2051282051282,856.192307692308,-0.455128205128205,0.978532015300531,837.811584330966,-0.445357519784216,0.230894798596683,28,0.531818799135771
"MRPL22",3,26,1523,791.038461538462,0.833333333333333,1,731.961538461538,-0.166666666666667,1.14351114044993,837.00617361164,-0.190585190074988,0.122894429231253,29,0.421171645976059
"MXI1",2,27,1544,795.296296296296,0.5,1.23456790123457,748.703703703704,-0.734567901234568,1.11759444138778,836.747097505702,-0.82094900324164,0.00862150068138231,29,0.109369894358107
"DHRS4",2,59,1519.5,719.016949152542,0.416666666666667,1.27118644067797,800.483050847458,-0.854519774011299,1.04408553272844,835.772772584151,-0.89219173347557,0.512859237348944,61,0.719587609707296
"USP45",3,31,2026,1120.83870967742,0.5,0.978494623655914,905.161290322581,-0.478494623655914,0.922180279086837,834.721891328279,-0.441258305584562,0.0364167086920213,34,0.243346434671099
"RAB26",2,31,1737,798.838709677419,0.75,0.967741935483871,938.161290322581,-0.217741935483871,0.884828812081502,830.112140056978,-0.192664338114521,0.221551690350471,33,0.52478989605245
"RIBC2",2,6,2221.5,964,0.5,1,1257.5,-0.5,0.659693323238219,829.56435397206,-0.329846661619109,0.00287595937641033,8,0.0528517391377014
"OR51I1",3,39,1364.66666666667,532.076923076923,0.833333333333333,1.30769230769231,832.589743589744,-0.474358974358975,0.995607623827142,828.932696238234,-0.472275411302619,0.234152988533917,42,0.532761249789442
"PDCD6",2,11,2221.5,1286.09090909091,0.5,0.954545454545455,935.409090909091,-0.454545454545455,0.880043269374935,823.200474566672,-0.400019667897698,0.0110919820239142,13,0.128847558626631
"MOSPD2",2,28,1737,925.357142857143,0.75,0.982142857142857,811.642857142857,-0.232142857142857,1.01296679642535,822.167264841521,-0.235153006313028,0.251340632826854,30,0.540868283017005
"ELN",2,33,1257,555.69696969697,0.75,1.62121212121212,701.30303030303,-0.871212121212121,1.1682490789863,819.296619241816,-1.01779275820776,0.144598410322445,35,0.443109852491173
"OR6K3",2,118,1143.5,339.618644067797,5.75,5.60875706214689,803.881355932203,0.141242937853108,1.01109339230029,812.799127176447,0.142809801172358,0.551362157171672,120,0.742582804198855
"NXPE4",2,11,1544,566.818181818182,0.5,1.5,977.181818181818,-1,0.83119742092516,812.231007047686,-0.83119742092516,0.0105553678080913,13,0.126285178925548
"PRKCG",2,32,1642,754.03125,1,1.71354166666667,887.96875,-0.713541666666667,0.909734049103735,807.815406415083,-0.649133149620894,0.292032169599311,34,0.575424334180891
"FKBP6",3,12,1788.66666666667,897.333333333333,0.666666666666667,0.958333333333333,891.333333333333,-0.291666666666667,0.905321404085422,806.943144841473,-0.264052076191582,0.168272407455253,15,0.467930786493523
"NICN1",2,15,2221.5,1064.53333333333,0.5,1,1156.96666666667,-0.5,0.695140227476194,804.25407184904,-0.347570113738097,0.02466746240163,17,0.203659462307673
"UBTFL1",2,18,1620,477.555555555556,1.25,1.83333333333333,1142.44444444444,-0.583333333333333,0.70143735043673,801.353204132273,-0.409171787754759,0.362560536959266,20,0.620999530942661
"BLOC1S2",2,8,1737,849.75,0.75,1.125,887.25,-0.375,0.90225180969432,800.522918151285,-0.33834442863537,0.194840170114365,10,0.497146035680246
"TUBG2",2,10,1707.5,837.1,0.75,0.883333333333333,870.4,-0.133333333333333,0.908894102651875,791.101426948192,-0.121185880353583,0.392262214344683,12,0.64245381846828
"ERH",2,18,2221.5,957.722222222222,0.5,0.916666666666667,1263.77777777778,-0.416666666666667,0.625278053494385,790.212508938348,-0.260532522289327,0.00793961532698483,20,0.104364154100761
"H2BU1",3,40,1846,819.375,0.666666666666667,1.13333333333333,1026.625,-0.466666666666667,0.7676021969443,788.039605437942,-0.358214358574007,0.113593790628732,43,0.406282235152181
"MAGOH",2,36,2221.5,1008.91666666667,0.5,1.1712962962963,1212.58333333333,-0.671296296296296,0.648186656707947,785.980336813112,-0.435125301956724,0.0368160444088309,38,0.244374936150033
"EFHB",3,32,1695,890.53125,0.666666666666667,1.078125,804.46875,-0.411458333333333,0.974864533122665,784.248052380524,-0.40111613602443,0.268457303543615,35,0.556442575095835
"OR51F2",2,33,1504,759.454545454545,0.75,1.03030303030303,744.545454545455,-0.28030303030303,1.05306805691225,784.057035101027,-0.295178167467826,0.422436309942512,35,0.660687082007937
"KIF2A",2,21,1592,751.47619047619,0.75,1.61904761904762,840.52380952381,-0.869047619047619,0.932650488567856,783.914941605297,-0.810517686493494,0.332356962108934,23,0.597777722084598
