"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"OR6Y1",2,40,1862,744.075,0.5,1.6,1117.925,-1.1,0.839522689392546,938.523402539162,-0.923474958331801,0.114175908951056,42,0.406999939490115
"RBM28",2,17,1771,801.941176470588,0.5,0.941176470588235,969.058823529412,-0.441176470588235,0.96101384601496,931.278947014732,-0.423976696771306,0.169230276821853,19,0.469115907592104
"SLC6A7",2,15,1737,869.2,0.75,0.933333333333333,867.8,-0.183333333333333,1.07277030649229,930.95007197401,-0.196674556190253,0.217341555610451,17,0.5220343781675
"OR2T2",8,182,1062.25,200.928571428571,5.75,11.2069597069597,861.321428571429,-5.45695970695971,1.07567929532787,926.50562733651,-5.869938572215,0.00231659658649937,190,0.0447203862785096
"LYZ",3,143,1120.33333333333,309.706293706294,1.66666666666667,3.82400932400932,810.62703962704,-2.15734265734266,1.13784067627992,922.364418980019,-2.45471222819828,0.197705414178284,146,0.500019515858495
"OR4C12",2,50,1362.5,549.8,1,1.21666666666667,812.7,-0.216666666666667,1.12252932253532,912.279580424455,-0.243214686549319,1.89644609502065e-09,52,7.57819859570253e-07
"SRM",2,9,2221.5,1111.66666666667,0.5,0.87037037037037,1109.83333333333,-0.37037037037037,0.820823360984264,910.977126799036,-0.304008652216394,0.0057143505113282,11,0.0858441527942386
"OR51A2",4,69,1476.5,525.739130434783,0.75,1.54589371980676,950.760869565217,-0.795893719806763,0.954511515482721,907.512198470365,-0.759689720655934,0.11626381863832,73,0.410396433634688
"ZNF574",4,122,1156.5,449.049180327869,1.375,3.16666666666667,707.450819672131,-1.79166666666667,1.28170812666351,906.745464788532,-2.29639372693879,0.192559784491073,126,0.495886406677629
"SEPTIN11",2,48,1994.5,995.270833333333,0.5,1.01388888888889,999.229166666667,-0.513888888888889,0.904698966531925,904.00159441189,-0.464914746690017,0.211658246527461,50,0.51603804339459
"IGHM",2,35,1365.5,536.057142857143,0.75,1.12857142857143,829.442857142857,-0.378571428571429,1.08640350295005,901.109625496899,-0.411281326116805,0.456104712889004,37,0.681343713160545
