"","pathway","pval","padj","log2err","ES","NES","size"
"1582","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",2.69419374705098e-12,1.92349105092488e-10,0.898671232061694,0.751715496121111,2.05429604875797,114
"1583","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",0.00196973181079508,0.0351567283805547,0.431707695803346,-0.556095563023998,-1.74149326450966,58
"1584","REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.22089552238806,0.661654193588373,0.161978948883402,-0.488911803159941,-1.19634221395627,18
"1585","REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING",0.855203619909502,0.999434389140271,0.0585937568945671,-0.396061668078051,-0.686219892598078,5
"1586","REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.25,0.683579404055786,0.188204146308491,-0.368679877427376,-1.12157152029433,46
"1587","REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",0.810850439882698,0.985612539088782,0.0410713282497468,0.339527172131827,0.741484467215967,19
"1588","REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.638349514563107,0.919285731241247,0.0764767053228531,-0.404126985708213,-0.87538883949188,11
"1589","REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",0.97008547008547,1,0.0312771255290148,0.249415655955498,0.555416917937163,21
"1590","REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.0210042395283897,0.217999948585402,0.352487857583619,-0.583565600748288,-1.52338439369055,23
"1591","REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",0.983253588516746,1,0.0546808488785442,-0.24814562857206,-0.527459384127246,10
"1592","REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",0.578125,0.890982946481405,0.0959206777921745,-0.366688324214085,-0.912455604300451,19
"1593","REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",0.097972972972973,0.505224578914535,0.266350657088526,-0.488865056381897,-1.33032525135081,26
"1594","REACTOME_NPAS4_REGULATES_EXPRESSION_OF_TARGET_GENES",0.887445887445887,1,0.0361491929398957,0.313789283021273,0.690965617551931,20
