"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"REC114","MLres",-0.0805503212181184,0.204202032230276,0.693238606477859,351,351,12,363,1.06552706552707,"1 - 2","success",0.999997530435179
"BOLA2","MLres",0.00740136285920523,0.486043784618911,0.987850467141295,66,66,297,363,1.01515151515152,"1 - 2","success",0.999997530435179
"BCOR","MLres",-0.0333504799065943,0.215131479957387,0.876802626319519,309,309,54,363,1.11650485436893,"1 - 3","success",0.999997530435179
"JRKL","MLres",-0.012068620998617,0.212384769150994,0.954685137251869,341,341,22,363,1.0058651026393,"1 - 2","success",0.999997530435179
"CABCOCO1","MLres",-0.0173306555414963,0.20733767929359,0.933385106431009,350,350,13,363,1.00857142857143,"1 - 2","success",0.999997530435179
"GBP6","MLres",0.118005103316059,0.19368505940307,0.542350254427349,314,314,49,363,2.68471337579618,"1 - 10","success",0.999997530435179
"KIAA2026","MLres",-0.121072118824367,0.213670234048222,0.57096509822416,335,335,28,363,1.05373134328358,"1 - 2","success",0.999997530435179
"OVCH2","MLres",-0.0205841104724408,0.237366017908749,0.930894984790892,272,272,91,363,1.01838235294118,"1 - 2","success",0.999997530435179
"SYNDIG1L","MLres",-0.0191288987988019,0.213456290721122,0.928593114556017,349,349,14,363,1.01146131805158,"1 - 2","success",0.999997530435179
"FHL3","MLres",-0.0207127283694616,0.208406472424973,0.920831635433298,352,352,11,363,1.00284090909091,"1 - 2","success",0.999997530435179
"OR56A4","MLres",-0.1299657579138,0.210809123202896,0.537558520555287,270,270,93,363,1.71851851851852,"1 - 4","success",0.999997530435179
"PMCH","MLres",0.244457147574921,0.200174993903004,0.222003789777311,351,351,12,363,1.11396011396011,"1 - 3","success",0.999997530435179
"TMEM89","MLres",-0.0656365974726494,0.213932246585522,0.758987836483543,335,335,28,363,1.04179104477612,"1 - 2","success",0.999997530435179
"C19orf71","MLres",-0.0194530894516828,0.223468913080122,0.930631339807109,301,301,62,363,1.00996677740864,"1 - 2","success",0.999997530435179
"CCDC159","MLres",0.046473300385179,0.210027019821289,0.824879902851927,316,316,47,363,1.04746835443038,"1 - 2","success",0.999997530435179
"RIPK4","MLres",-0.014893789547244,0.227566979778589,0.947817356988825,304,304,59,363,1.01973684210526,"1 - 2","success",0.999997530435179
"LRIT3","MLres",-0.00390912307215163,0.21364962378838,0.985402010686458,339,339,24,363,1.00589970501475,"1 - 2","success",0.999997530435179
"NPIPA1","MLres",0.665656589319802,0.550383254909558,0.226493105711754,106,106,257,363,2.41509433962264,"1 - 21","success",0.999997530435179
"SF3A3","MLres",-0.00611192122778915,0.215235255776462,0.977345940547354,341,341,22,363,1.00879765395894,"1 - 2","success",0.999997530435179
"TFDP3","MLres",NA,NA,NA,0,45,318,363,NA,NA,"No variation in nonzero copy numbers",NA
"TRIM61","MLres",0.338241969749268,0.31043248575985,0.275896859877458,172,172,191,363,1.58720930232558,"1 - 8","success",0.999997530435179
"GRIN2A","MLres",-0.163071409810701,0.20382034435029,0.423667777344734,340,340,23,363,1.11176470588235,"1 - 3","success",0.999997530435179
"URAD","MLres",0.00672935052088611,0.23685610469921,0.977334244167425,292,292,71,363,1.00684931506849,"1 - 2","success",0.999997530435179
"GTF2H2C","MLres",-0.0507308663252845,0.216189819970249,0.81447348656298,318,318,45,363,1.0251572327044,"1 - 3","success",0.999997530435179
"ASB7","MLres",0.0136339772841811,0.206153533967664,0.94727029444439,356,356,7,363,1.01685393258427,"1 - 2","success",0.999997530435179
"SH2D7","MLres",-0.016311045955,0.233116939028228,0.944218037035366,290,290,73,363,1.00344827586207,"1 - 2","success",0.999997530435179
"TREX2","MLres",-0.0128810420495779,0.221389194433398,0.953603025340177,301,301,62,363,1.01328903654485,"1 - 2","success",0.999997530435179
"GPR132","MLres",NA,NA,NA,0,299,64,363,NA,NA,"No variation in nonzero copy numbers",NA
"MX2","MLres",0.0171452797598062,0.254443574522514,0.946276463381207,215,215,148,363,1.05581395348837,"1 - 5","success",0.999997530435179
"EP400","MLres",-0.025895369393947,0.23200002272824,0.91112633052211,293,293,70,363,1.02389078498294,"1 - 2","success",0.999997530435179
"MEX3B","MLres",0.000638782981570886,0.224363708347187,0.997728356364353,315,315,48,363,1.00634920634921,"1 - 2","success",0.999997530435179
"TENT5C","MLres",-0.00792275354444923,0.209508509355893,0.969834464388203,345,345,18,363,1.00289855072464,"1 - 2","success",0.999997530435179
"COA5","MLres",-0.0755409730482239,0.203468548920594,0.710439350516706,361,361,2,363,1.0415512465374,"1 - 3","success",0.999997530435179
"UTP11","MLres",NA,NA,NA,0,355,8,363,NA,NA,"No variation in nonzero copy numbers",NA
"PSMG1","MLres",-0.0117798929686059,0.206827811774479,0.954580984138345,345,345,18,363,1.02028985507246,"1 - 2","success",0.999997530435179
"PRR14L","MLres",NA,NA,NA,0,277,86,363,NA,NA,"No variation in nonzero copy numbers",NA
"KLRC4","MLres",0.0740447182618339,0.227457318405357,0.74477819339927,309,309,54,363,4.78964401294498,"1 - 67","success",0.999997530435179
"ACSM5","MLres",0.274789583175251,0.245651316235962,0.263303837546538,250,250,113,363,1.116,"1 - 6","success",0.999997530435179
"C10orf120","MLres",-0.00171171557743017,0.225015703733455,0.993930475797991,316,316,47,363,1.01582278481013,"1 - 3","success",0.999997530435179
"IZUMO1R","MLres",0.0131738603167432,0.213735272450701,0.95085243534343,332,332,31,363,1.03012048192771,"1 - 3","success",0.999997530435179
"SERHL2","MLres",0.158557092983805,0.234275073594892,0.498533607966712,277,277,86,363,1.08303249097473,"1 - 3","success",0.999997530435179
"PCBP3","MLres",-0.121431480478019,0.204028262539971,0.551729908668167,339,339,24,363,1.07964601769911,"1 - 4","success",0.999997530435179
"PGPEP1L","MLres",0.0308088712122499,0.379601454746606,0.935313835994539,144,144,219,363,1.00694444444444,"1 - 2","success",0.999997530435179
"SETD3","MLres",0.00696138341304901,0.212445210000938,0.973859676487272,346,346,17,363,1.0028901734104,"1 - 2","success",0.999997530435179
"TNFAIP8L3","MLres",-0.0596057581114868,0.203241881069388,0.769311978193505,353,353,10,363,1.04815864022663,"1 - 2","success",0.999997530435179
"ZNRF3","MLres",-0.107206586697474,0.211632657166409,0.612457120960061,326,326,37,363,1.03680981595092,"1 - 2","success",0.999997530435179
"FBXL7","MLres",-0.0899308329331958,0.203184585528605,0.658050330165153,353,353,10,363,1.06232294617564,"1 - 3","success",0.999997530435179
"TANGO2","MLres",-0.0495840480656321,0.207792999570185,0.811398454570976,336,336,27,363,1.04166666666667,"1 - 2","success",0.999997530435179
"H3C13","MLres",0.318470633169915,0.245041861685389,0.193718187144984,269,269,94,363,1.10408921933085,"1 - 4","success",0.999997530435179
"SFXN4","MLres",-0.0632914419853576,0.223897544323355,0.777421860735669,306,306,57,363,1.01960784313725,"1 - 3","success",0.999997530435179
"GKN2","MLres",-0.0131703738598687,0.20880809079869,0.949707530995804,351,351,12,363,1.01424501424501,"1 - 2","success",0.999997530435179
"FAM167B","MLres",0.0054635314548183,0.211906419155105,0.979430616165696,348,348,15,363,1.02298850574713,"1 - 3","success",0.999997530435179
"MRPL54","MLres",0.0170503986738782,0.210610530606462,0.935476141881283,338,338,25,363,1.02366863905325,"1 - 2","success",0.999997530435179
"ZNF438","MLres",-0.00571785664428275,0.206324573472637,0.977891118042681,349,349,14,363,1.03151862464183,"1 - 3","success",0.999997530435179
"HMCES","MLres",-0.0258768839743063,0.20872409203555,0.901333875792028,348,348,15,363,1.04022988505747,"1 - 4","success",0.999997530435179
"CCR3","MLres",-0.0219360112567066,0.213670976087943,0.918230782490926,329,329,34,363,1.00303951367781,"1 - 2","success",0.999997530435179
"DGCR6","MLres",0.463039677087927,0.205673215923661,0.0243642145233541,309,309,54,363,1.1747572815534,"1 - 5","success",0.999997530435179
"GOLGA8G","MLres",0.760694317498695,0.411325184285834,0.064403751250846,145,145,218,363,6.5448275862069,"1 - 35","success",0.999997530435179
"PRR32","MLres",0.0143503727626514,0.24085425268451,0.952489233780611,273,273,90,363,1.01098901098901,"1 - 2","success",0.999997530435179
"TP53TG3","MLres",0.553095347940967,0.42541279199766,0.193553666516612,116,116,247,363,2.9051724137931,"1 - 17","success",0.999997530435179
"RP1L1","MLres",-0.0351450894384778,0.269017134478161,0.896058066439782,244,244,119,363,1.00409836065574,"1 - 2","success",0.999997530435179
"KRTAP8-1","MLres",-0.0129790974691423,0.222364209253437,0.953454990276585,327,327,36,363,1.01223241590214,"1 - 2","success",0.999997530435179
"HOATZ","MLres",-0.0267143387578445,0.207315269901285,0.897469599560151,331,331,32,363,1.03021148036254,"1 - 4","success",0.999997530435179
"ZNF530","MLres",0.269044567679178,0.154358378440476,0.0813359753691457,311,311,52,363,6.9967845659164,"1 - 31","success",0.999997530435179
"NDUFB1","MLres",0.431383800389647,0.194743581171195,0.0267506314085662,351,351,12,363,1.19088319088319,"1 - 4","success",0.999997530435179
"MARCHF11","MLres",-0.0390290310303216,0.210764155432145,0.853088879855999,339,339,24,363,1.00884955752212,"1 - 2","success",0.999997530435179
"KLHL25","MLres",-0.00673773086680385,0.223849951229535,0.975987844641365,324,324,39,363,1.00308641975309,"1 - 2","success",0.999997530435179
"TAFA1","MLres",NA,NA,NA,0,351,12,363,NA,NA,"No variation in nonzero copy numbers",NA
"TRMT12","MLres",NA,NA,NA,0,334,29,363,NA,NA,"No variation in nonzero copy numbers",NA
"PSG9","MLres",0.618752808629386,0.310534577533058,0.0463117556861838,205,205,158,363,5.27317073170732,"1 - 30","success",0.999997530435179
"GPR1","MLres",-0.000832070120983684,0.209092119153352,0.996824872436647,340,340,23,363,1.01470588235294,"1 - 2","success",0.999997530435179
"BMP8A","MLres",-0.157609697001833,0.209286129470293,0.451400410393403,252,252,111,363,1.3968253968254,"1 - 3","success",0.999997530435179
"ALYREF","MLres",0.0440752048583035,0.213542016725355,0.836477985799786,341,341,22,363,1.01466275659824,"1 - 2","success",0.999997530435179
"RFLNB","MLres",0.107428709712284,0.218143121280755,0.622387880405241,330,330,33,363,1.02424242424242,"1 - 3","success",0.999997530435179
"EFHC2","MLres",0.0457908748519561,0.223524671216248,0.837682868494897,286,286,77,363,1.02097902097902,"1 - 3","success",0.999997530435179
"NOG","MLres",-0.0213470458580984,0.218143582628091,0.922045228823576,316,316,47,363,1.00949367088608,"1 - 2","success",0.999997530435179
"MRGPRX2","MLres",0.21069486551632,0.226503789404902,0.352265163633111,287,287,76,363,2.2787456445993,"1 - 17","success",0.999997530435179
"UPP1","MLres",-0.0618694138803392,0.215961121715186,0.77450741835138,328,328,35,363,1.02743902439024,"1 - 4","success",0.999997530435179
"OR4N4","MLres",0.134180435903523,0.215227813623889,0.532999058343894,238,238,125,363,1.3781512605042,"1 - 6","success",0.999997530435179
"IFNL2","MLres",0.496714204954007,0.177284563614234,0.00508198648280503,320,320,43,363,2.09375,"1 - 9","success",0.999997530435179
"OPCML","MLres",-0.320522039787986,0.188652026440987,0.0893169395585719,351,351,12,363,1.23361823361823,"1 - 5","success",0.999997530435179
"TRIM52","MLres",NA,NA,NA,0,189,174,363,NA,NA,"No variation in nonzero copy numbers",NA
"LHFPL6","MLres",-0.0215013986903853,0.20697695468012,0.917262153253643,349,349,14,363,1.01719197707736,"1 - 2","success",0.999997530435179
"CMTM4","MLres",-0.0683649496738092,0.201860464625722,0.734855110317868,353,353,10,363,1.06798866855524,"1 - 3","success",0.999997530435179
"TMEM50A","MLres",0.277439304324247,0.217492419483205,0.20208723954452,353,353,10,363,1.17563739376771,"1 - 4","success",0.999997530435179
"FIGLA","MLres",0.0221422273974294,0.264390705546189,0.933256688664299,249,249,114,363,1.02409638554217,"1 - 2","success",0.999997530435179
"ASCL2","MLres",-0.040406718126576,0.228391035551666,0.859571998692592,302,302,61,363,1.01655629139073,"1 - 2","success",0.999997530435179
"TBK1","MLres",-0.100353530552674,0.200664258082977,0.616999981576017,349,349,14,363,1.09169054441261,"1 - 4","success",0.999997530435179
"CBX6","MLres",-0.0516840321833947,0.220227974959726,0.814453830493726,313,313,50,363,1.01916932907348,"1 - 2","success",0.999997530435179
"MACC1","MLres",0.00331294417010479,0.213983174123667,0.987647433417106,316,316,47,363,1.00316455696203,"1 - 2","success",0.999997530435179
"ACSM2A","MLres",0.0949275886548514,0.239383654983393,0.691699329006808,237,237,126,363,1.10970464135021,"1 - 4","success",0.999997530435179
"TBL3","MLres",-0.013557384307848,0.215472960942211,0.94983085319821,331,331,32,363,1.00906344410876,"1 - 2","success",0.999997530435179
"BPY2","MLres",-3.01464686328116,4.78787660215525,0.52892902049459,11,11,352,363,5,"1 - 14","success",0.999997530435179
"ACP7","MLres",0.195226346687656,0.222758218198385,0.380810070762814,298,298,65,363,1.06040268456376,"1 - 4","success",0.999997530435179
"KREMEN1","MLres",-0.11854988798554,0.203566446753123,0.560321135251828,344,344,19,363,1.06686046511628,"1 - 3","success",0.999997530435179
"TRAIP","MLres",-0.0178991261030984,0.212424281988027,0.932848756101583,344,344,19,363,1.00872093023256,"1 - 2","success",0.999997530435179
"CHEK2","MLres",-0.094396403738296,0.194399339743503,0.627265080304457,355,355,8,363,1.14366197183099,"1 - 5","success",0.999997530435179
