"","pathway","pval","padj","log2err","ES","NES","size"
"252","KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY",0.230534351145038,0.628279235215651,0.108394255853397,0.514370138223181,1.18302616824265,26
"253","KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.783151326053042,0.994779597009123,0.0454967810085007,0.336181677605547,0.765961067349721,25
"254","KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",0.830508474576271,1,0.0382416816260774,0.302508873792511,0.756328837714927,44
"255","KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE",0.563734290843806,0.90986473498542,0.0675188953767744,0.467981664637991,0.929629044914026,12
"256","KEGG_MEDICUS_REFERENCE_DERMATAN_SULFATE_DEGRADATION",0.305327868852459,0.707509325442307,0.109250039480711,-0.608765595993801,-1.14463652702558,7
"257","KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119",0.426592797783933,0.81412158734292,0.107140237276725,-0.391375096789059,-1.00816723674225,25
"258","KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC",0.412177985948478,0.802877714564653,0.0988903007520636,-0.442500160587381,-1.04503674872338,16
"259","KEGG_MEDICUS_REFERENCE_DNA_DEGRADATION_BY_EXTRACELLULAR_ENDOLYSOSOMAL_DNASE",0.754098360655738,0.98479740832903,0.0598603117764473,-0.415121541818941,-0.78053569887674,7
"260","KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING",0.080952380952381,0.380627591055656,0.245041785430996,-0.591651746900949,-1.41593571125039,17
"261","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",0.930666666666667,1,0.0623861492893626,-0.252477275424277,-0.652445066072195,24
"262","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",0.523316062176166,0.888543133687722,0.0908241419007155,-0.379582255392663,-0.95862468755528,21
"263","KEGG_MEDICUS_REFERENCE_DOUBLE_HOLLIDAY_JUNCTION_RESOLUTION",0.347740667976424,0.749935231762344,0.0985499803531691,0.658566620524894,1.13803026423009,6
