"","X","Scientific_name","maximum_longevity_y","adult_body_mass_g","order","common_name","MLres"
"43",43,"Callimico_goeldii",22.2,555,"Primates","Goeldi's monkey",0.20193514620538
"44",44,"Callithrix_jacchus",22.8,255.2,"Primates","White-tufted-ear marmoset",0.26581630240218
"45",45,"Callorhinus_ursinus",35,165500,"Carnivora","Northern fur seal",0.0160991877328223
"46",46,"Camelus_bactrianus",35.4,475000,"Artiodactyla","Bactrian camel",-0.0499399234449662
"47",47,"Camelus_dromedarius",28.4,434000,"Artiodactyla","Dromedary",-0.139548200421103
"48",48,"Canis_latrans",21.8,13250,"Carnivora","Coyote",-0.0195409153046958
"49",49,"Capra_hircus",20.8,61000,"Artiodactyla","Domestic goat",-0.142717474462669
"50",50,"Capra_ibex",20.9,82500,"Artiodactyla","Ibex",-0.16095890669113
"51",51,"Capra_sibirica",22.3,130000,"Artiodactyla","Siberian ibex",-0.16341140689662
"52",52,"Capreolus_pygargus",17.5,39450,"Artiodactyla","Eastern roe deer",-0.188403712045454
"53",53,"Carollia_perspicillata",17,15,"Chiroptera","Seba's short-tailed bat",0.329104103823035
"54",54,"Castor_canadensis",23.4,20250,"Rodentia","American beaver",-0.0173341744330834
"55",55,"Catagonus_wagneri",14.64166667,34750,"Artiodactyla","Chacoan peccary",-0.257311893150063
"56",56,"Cavia_aperea",6,341,"Rodentia","Brazilian guinea pig",-0.333477859041861
"57",57,"Cavia_porcellus",12,728,"Rodentia","Guinea pig",-0.0835016646148314
"58",58,"Cavia_tschudii",6.3,637.5,"Rodentia","Montane guinea pig",-0.354406362632654
"59",59,"Cebus_albifrons",40.4,2467.5,"Primates","White-fronted capuchin",0.361528368862528
"60",60,"Cephalorhynchus_commersonii",25.8,50000,"Cetacea","Commerson's dolphin",-0.035775233696446
"61",61,"Cercocebus_atys",46,8778,"Primates","Sooty Mangabey",0.33247776835044
"62",62,"Cercopithecus_mona",30,4500,"Primates","Mona monkey",0.191819888725362
"63",63,"Cercopithecus_neglectus",30.8,5945,"Primates","De Brazza's monkey",0.184503617548149
"64",64,"Cheirogaleus_medius",29,380,"Primates","Fat-tailed dwarf lemur",0.343479307456609
"65",65,"Chinchilla_lanigera",17.2,642.5,"Rodentia","Long-tailed chinchilla",0.0812556249000967
"66",66,"Chlorocebus_aethiops",30.8,5620,"Primates","Vervet",0.188288053917082
"67",67,"Chlorocebus_sabaeus",46,5104.25,"Primates","Green Monkey",0.368974894182488
"68",68,"Chrysochloris_asiatica",2.408333333,36.93,"Afrosoricida","Cape Golden Mole",-0.580278303456022
"69",69,"Chrysocyon_brachyurus",16.8,21500,"Carnivora","Maned wolf",-0.165272861054548
"70",70,"Coendou_prehensilis",26.6,3900,"Rodentia","Prehensile-tailed porcupine",0.149213265276224
"71",71,"Colobus_guereza",35,9950,"Primates","Guereza",0.20535165735227
"72",72,"Condylura_cristata",2.5,55.3,"Soricomorpha","Star-nosed mole",-0.591233689041115
"73",73,"Connochaetes_taurinus",24.3,164500,"Artiodactyla","Blue wildebeest",-0.141954605239899
"74",74,"Cricetomys_gambianus",8.4,1500,"Rodentia","Gambian rat",-0.287067755007857
"75",75,"Crocuta_crocuta",41.1,63000,"Carnivora","Spotted hyena",0.150889336135489
"76",76,"Cryptoprocta_ferox",23.1,9500,"Carnivora","Fossa",0.0280110339356926
"77",77,"Ctenodactylus_gundi",5.8,288.8,"Rodentia","Gundi",-0.337016671176579
"78",78,"Cynomys_gunnisoni",6.075,900,"Rodentia","Gunnison's prairie dog",-0.393413955966898
"79",79,"Cynopterus_brachyotis",10.1,45,"Chiroptera","Lesser short-nosed fruit bat",0.0290222313028418
"80",80,"Damaliscus_lunatus",23.6,110000,"Artiodactyla","Topi",-0.12755883290791
"81",81,"Dasyprocta_punctata",13.8,2150,"Rodentia","Central American agouti",-0.0957019446219243
